Name,Genre 1,Genre 2,No. of Seasons,No. of Episodes,Legth per Episode (min),Watched No.,Telecasting Channel, Year of Release,Year when watched,Country of Origin
11.22.63,Drama,Sci Fi,1,8,60,8,Hulu,2016,,USA
13 Reasons Why,Drama,Mystery,1,13,60,13,Netflix,2017,,USA
666 Park Avenue,Drama,Fantasy,1,13,45,13,ABC,2012,,USA
A to Z,Comedy,,1,13,25,13,NBC,2014,,USA
About a Boy,Comedy,,2,33,30,33,NBC,2014,,USA
Aladin,Animation,,3,86,30,86,Toon Disney,1994,,USA
Almost Human,Crime,Sci Fi,1,13,45,13,FOX,2013,,USA
American Dragon: Jake Long,Animation,,2,52,25,52,Toon Disney,2005,,USA
American Horror Story,Drama,Horror,7,84,45,84,FX,2011,,USA
Archer,Animation,Action,8,93,25,93,FXX,2009,,USA
Arrow,Action ,Drama,6,124,45,124,The CW,2012,,USA
Ash vs Evil Dead,Comedy ,Horror,2,20,30,20,Starz,2015,,USA
Attack on Titan,Anime,,2,37,25,37,MBS,2013,,Japan
Baby Looney Tunes,Animation,,2,102,11,102,Cartoon Network,2002,,USA
Banshee,Action ,Drama,4,38,60,38,CineMax,2013,,USA
Bates Motel,Mystery,Drama,5,50,60,50,A&E,2013,,USA
Batman: The Animated Series,Animation,,4,85,25,2,FOX,1992,,USA
Beelzebub,Anime,,1,60,25,60,Animax,2011,,Japan
Being Human (US),Drama,Fantasy,4,52,45,52,SyFy,2011,,USA
Big Mouth,Animation,,1,10,25,10,Netflix,2017,,USA
Black Clover,Anime,,1,15,25,15,TV Tokyo,2017,,Japan
Black Mirror,Thriller,Sci Fi,4,19,60,19,Netflix,2011,,USA
Bleach,Anime,,16,366,25,366,TV Tokyo,2004,,Japan
BoJack Horseman,Animation,Black Comedy,4,49,25,49,Netflix,2014,,USA
Breaking Bad,Crime,Drama,5,62,45,62,AMC,2008,,USA
Brooklyn Nine-Nine,Comedy,,5,101,25,101,FOX,2013,,USA
Californication,Comedy,Drama,7,84,30,84,Showtime,2007,,USA
Camelot,Drama,Fantasy,1,10,60,10,Starz,2011,,USA
Chuck,Comedy,Action,5,91,45,91,NBC,2007,,USA
Code:Breaker,Anime,,1,13,20,13,MBS,2012,,USA
Courage the Cowardly Dog,Animation,,4,102,15,102,Cartoon Network,1999,,USA
DARK,Sci Fi,Mystery,1,10,50,10,Netflix,2017,,Germany
DC's Legends of Tomorrow,Action ,Sci Fi,3,42,45,42,The CW,2016,,USA
Da Vinci's Demons,Drama ,Fantasy,3,28,55,28,Starz,2013,,USA/UK
Death Note,Anime,,1,37,25,37,NTV,2006,,Japan
Dexter,Crime,Drama,8,96,60,96,Showtime,2006,,USA
Dexter's Laboratory,Animation,,4,222,30,222,Disney,1996,,USA
Digimon Adventure Tri.,Anime,,5,21,25,21,Toei Channel,2015,,Japan
Digimon: Digital Monsters,Anime,,5,253,30,253,Fuji TV,1999,,Japan
Dracula,Horror,Drama,1,10,45,10,NBC,2013,,USA/UK
Dragon Ball,Anime,,6,153,25,153,Fuji TV,1986,,Japan
Dragon Ball GT,Anime,,3,64,25,64,NickToons,1996,,Japan
Dragon Ball Kai,Anime,,2,159,25,159,Fuji TV,2009,,Japan
Dragon Ball Z,Anime,,9,291,25,291,Fuji TV,1989,,Japan
Drake and Josh,Comedy,,4,55,30,55,Nickelodeon,2004,,USA
DuckTales,Animation,,4,100,25,100,Disney,1987,,USA
DuckTales (2017),Animation,,1,9,25,9,Disney XD,2017,,USA
ERASED,Anime,,1,12,25,12,Fuji TV,2016,,Japan
Fairy Tail,Anime,,7,277,25,277,TV Tokyo,2009,,Japan
Family Guy,Animation,,16,300,25,35,FOX,1999,,USA
Fargo,Crime,Drama,3,30,50,30,FX,2014,,USA
Friends,Comedy,,10,236,25,236,NBC,1994,,USA
Fringe,Sci Fi,Mystery,5,100,45,100,FOX,2008,,USA
Fullmetal Alchemist,Anime,,1,51,25,51,Animax,2003,,Japan
Game of Thrones,Drama,Fantasy,7,67,55,67,HBO,2011,,USA
Ghosted,Comedy,,1,10,25,10,FOX,2017,,USA
Gotham,Action ,Sci Fi,4,77,45,77,FOX,2014,,USA
Grandfathered,Comedy,,1,22,25,22,FOX,2015,,USA
Haikyuu!!,Anime,,3,60,25,60,Tokyo Broadcasting System,2014,,Japan
Hannibal,Crime,Drama,3,39,45,39,NBC,2013,,USA
Haven,Sci Fi,Drama,5,78,45,78,SyFy,2010,,USA/Canada
Heroes,Sci Fi,Fantasy,4,78,45,78,NBC,2006,,USA
Heroes Reborn,Sci Fi,Fantasy,1,13,45,13,NBC,2015,,USA
House of Cards (US),Drama,,5,65,60,65,Netflix,2013,,USA
How I Met Your Mother,Comedy,,9,208,25,208,CBS,2005,,USA
Inside Edge,Drama,Sport,1,10,45,10,Amazon,2017,,India
Kuroko's Basketball,Anime,,3,75,25,75,MBS,2012,,Japan
Legion,Sci Fi,Drama,1,8,50,8,FX,2017,,USA
Limitless,Sci Fi,Action,1,22,45,22,CBS,2015,,USA
Love,Comedy,,2,22,30,22,Netflix,2016,,USA
Lucifer,Crime,Fantasy,3,42,45,42,FOX,2016,,USA
Luther,Crime,Drama,4,16,60,16,BBC ,2010,,UK
Man With A Plan,Comedy,,2,28,25,28,CBS,2016,,USA
Marvel's Agent Carter,Action ,Drama,2,18,45,18,ABC,2015,,USA
Marvel's Agents of S.H.I.E.L.D.,Action ,Sci-Fi,5,95,45,95,ABC,2013,,USA
Marvel's Daredevil,Action ,Drama,2,26,55,26,Netflix,2015,,USA
Marvel's Inhumans,Sci-Fi,Drama,1,8,45,8,ABC,2017,,USA
Marvel's Iron Fist,Action ,Fantasy,1,13,55,13,Netflix,2017,,USA
Marvel's Jessica Jones,Action ,Drama,1,13,55,13,Netflix,2015,,USA
Marvel's Luke Cage,Action ,Crime,1,13,55,13,Netflix,2016,,USA
Marvel's Runaways,Sci Fi ,Drama,1,10,50,10,Hulu,2017,,USA
Marvel's The Defenders,Action ,Drama,1,13,55,13,Netflix,2017,,USA
Marvel's The Punisher,Action ,Crime,1,13,55,13,Netflix,2017,,USA
Mr. Bean: The Animated Series,Animation,,4,138,11,138,ITV1,2003,,UK
Mr. Robot,Crime,Thriller,3,32,50,32,USA,2015,,USA
Naruto,Anime,,5,220,25,220,TV Tokyo,2002,,Japan
Naruto Shippuden,Anime,,22,406,25,379,TV Tokyo,2007,,Japan
One Piece,Anime,,19,821,25,821,Fuji TV,1999,,Japan
One-Punch Man,Anime,,1,12,25,12,TV Tokyo,2015,,Japan
Outcast,Horror,,2,20,50,20,CineMax,2016,,USA
Parasyte -the maxim-,Anime,,1,24,25,24,NTV,2014,,Japan
Permanent Roommates,Comedy,Drama,2,13,45,13,YouTube,2014,,India
Person of Interest,Action ,Sci Fi,5,103,45,103,CBS,2011,,USA
Pokémon,Anime,,18,1002,25,435,TV Tokyo,1997,,Japan
Popeye,Animation,,29,451,5,451,Cartoon Network,1933,,USA
Preacher,Drama,Fantasy,2,23,45,23,AMC,2016,,USA
Prison Break,Action ,Drama,5,90,45,90,FOX,2005,,USA
Psych,Comedy,,8,121,45,50,USA Network,2006,,USA
Quantico,Crime,Mystery,2,44,45,44,ABC,2015,,USA
Rick and Morty,Animation,Comedy,3,31,25,31,Adult Swim,2013,,USA
Riverdale,Crime,Mystery,2,30,45,22,The CW,2016,,USA
Samurai Jack,Animation,Action,5,62,20,62,Adult Swim,2001,,USA
Scooby-Doo! Mystery Incorporated,Animation,,2,52,25,52,Boomerang,2010,,USA
Scorpion,Crime,Drama,4,89,45,84,CBS,2014,,USA
Second Chance (2016),Sci Fi,Drama,1,11,45,11,FOX,2016,,USA
Sense8,Sci Fi,Drama,2,23,60,23,Netflix,2015,,USA
Sherlock,Crime,Mystery,4,13,90,13,BBC ,2010,,USA/UK
Silicon Valley,Comedy,,4,38,30,38,HBO,2014,,USA
Slasher,Horror,Thriller,2,16,45,16,Netflix,2016,,Canada
Spartacus,Action ,Drama,3,39,60,39,Starz,2010,,USA/UK/NZ
Stranger Things,Sci Fi,Thriller,2,17,50,17,Netflix,2016,,USA
Suits,Drama,,7,102,45,102,USA Network,2011,,USA
Supergirl,Sci Fi,Action,3,55,45,51,The CW,2015,,USA
Supernatural,Fantasy,Action,13,273,45,273,The CW,2005,,USA
The Big Bang Theory,Comedy,,11,247,25,244,CBS,2007,,USA
The Blacklist,Crime,Drama,5,102,45,99,NBC,2013,,USA
The Blacklist: Redemption,Crime,Drama,1,8,45,8,NBC,2017,,USA
The Carmichael Show,Comedy,,3,32,25,32,NBC,2015,,USA
The Exorcist,Horror,Drama,2,20,45,20,FOX,2016,,USA
The Flash,Sci Fi,Action,4,84,45,78,The CW,2014,,USA
The Flintstones,Animation,,6,166,30,166,ABC,1960,,USA
The Following,Crime,Thriller,3,45,45,45,FOX,2013,,USA
The Good Doctor,Drama,,1,12,45,12,ABC,2017,,USA
The Mentalist,Crime,Drama,7,151,45,151,CBS,2008,,USA
The Messengers,Fantasy,Thriller,1,13,45,13,The CW,2015,,USA
The Mist,Mystery,Thriller,1,10,45,10,Spike TV,2017,,USA
The Night Manager,Drama,Thriller,1,6,60,6,BBC ,2016,,UK
The Odd Couple,Comedy,,3,38,25,38,CBS,2015,,USA
The Powerpuff Girls,Animation,,6,135,12,135,Cartoon Network,1998,,USA
The Road Runner Show,Animation,,3,67,30,67,CBS,1966,,USA
The Scooby-Doo Show,Animation,,3,40,30,40,ABC,1976,,USA
The Sinner,Mystery,Thriller,1,8,50,8,USA Network,2017,,USA
The Suite Life of Zack & Cody,Comedy,,3,87,25,87,Disney,2005,,USA
The Suite Life on Deck,Comedy,,3,71,25,71,Disney,2008,,USA
Tokyo Ghoul,Anime,,2,24,30,24,Tokyo MX,2014,,Japan
True Blood,Drama,Fantasy,7,80,55,80,HBO,2008,,USA
True Detective,Crime ,Drama,2,16,60,16,HBO,2014,,USA
UnREAL,Drama,,2,20,40,20,Lifetime,2015,,USA
Vikings,Action ,Drama,5,59,45,57,History,2013,,Canada/Ireland
Wayward Pines,Mystery,Drama,2,20,45,20,FOX,2015,,USA
Westworld,Sci Fi,Drama,1,10,60,10,HBO,2016,,USA
Wizards of Waverly Place,Comedy,,4,106,25,106,Disney,2007,,USA
X-Men,Animation,Action,1,12,25,12,G4,2011,,USA
X-Men: Evolution,Animation,Action,4,52,30,52,The WB,2000,,USA
You're the Worst,Comedy,,4,49,25,49,FXX,2014,,USA
"You, Me and the Apocalypse",Comedy,,1,10,45,10,Sky1,2015,,US/UK
Young Justice,Animation,Action,2,46,25,46,Cartoon Network,2010,,USA
Young Sheldon,Comedy,,1,11,25,11,CBS,2017,,USA
Yu-Gi-Oh! Duel Monsters,Anime,,5,224,25,224,TV Tokyo,2000,,Japan
Yu-Gi-Oh! Duel Monsters GX,Anime,,4,180,25,6,The CW,2004,,Japan
iZombie,Drama,,3,45,45,45,The CW,2015,,USA
24,Action ,Drama,9,204,45,136,FOX,2001,,USA
Anger Management,Comedy,,2,100,25,50,FX,2012,,USA
Avatar: The Last Airbender,Animation,,3,61,25,8,NickToons,2005,,USA
Constantine,Fantasy,Action,1,13,45,10,NBC,2014,,USA
Dragon Ball Super,Anime,,5,126,25,4,Fuji TV,2015,,Japan
Elementary,Crime,Mystery,5,120,45,60,CBS,2012,,USA
High School DxD,Anime,,3,36,25,24,AT-X,2012,,Japan
Homeland,Crime,Drama,6,72,50,30,Showtime,2011,,USA
Steins;Gate,Anime,,1,26,25,25,TV Tokyo,2011,,Japan
The Seven Deadly Sins,Anime,,1,30,25,24,MBS,2014,,Japan